用户ID,省份,性别,年龄,注册日期
127701,山西,男,46,2011-3-10
127702,江西,男,23,2011-3-10
127703,北京,男,31,2011-3-10
127704,吉林,男,40,2011-3-10
127705,安徽,女,30,2011-3-10
127706,广东,女,31,2011-3-10
127707,天津,男,23,2011-3-10
127708,湖南,女,18,2011-3-10
127709,广东,女,25,2011-3-10
127710,四川,女,32,2011-3-10
127711,广东,男,43,2011-3-10
127712,江西,男,21,2011-3-10
127715,江西,男,29,2011-3-10
127718,四川,女,25,2011-3-10
127719,上海,女,37,2011-3-10
127722,新疆,女,23,2011-3-10
127723,吉林,女,23,2011-3-10
127725,新疆,女,40,2011-3-10
127726,海南,女,21,2011-3-10
127728,黑龙江,女,29,2011-3-10
127729,四川,男,26,2011-3-10
127730,天津,女,29,2011-3-10
127731,上海,男,41,2011-3-10
127732,上海,女,35,2011-3-10
127734,甘肃,男,29,2011-3-10
127736,湖北,女,32,2011-3-10
127737,江苏,男,23,2011-3-10
127738,湖北,男,20,2011-3-10
127739,宁夏,男,27,2011-3-10
127740,广东,男,24,2011-3-10
127742,上海,女,28,2011-3-10
127743,辽宁,女,41,2011-3-10
127745,吉林,女,35,2011-3-10
127746,河南,女,19,2011-3-10
127747,广西,男,21,2011-3-10
127748,陕西,男,24,2011-3-10
127749,辽宁,女,21,2011-3-10
127750,吉林,男,26,2011-3-10
127751,安徽,男,34,2011-3-10
127755,宁夏,女,22,2011-3-10
127758,贵州,男,20,2011-3-10
127760,江苏,男,43,2011-3-10
127763,福建,男,25,2011-3-10
127764,广东,男,36,2011-3-10
127766,上海,男,25,2011-3-10
127767,山西,男,45,2011-3-10
127772,山东,女,28,2011-3-10
127773,北京,男,24,2011-3-10
127774,湖北,男,25,2011-3-10
127776,重庆,女,27,2011-3-10
127778,天津,女,33,2011-3-10
127779,吉林,女,21,2011-3-10
127780,贵州,男,27,2011-3-10
127781,湖南,男,19,2011-3-10
127782,宁夏,女,37,2011-3-10
127784,湖南,女,33,2011-3-10
127786,广东,男,27,2011-3-10
127787,湖北,男,26,2011-3-10
127788,安徽,男,45,2011-3-10
127789,湖北,男,19,2011-3-10
127790,浙江,女,30,2011-3-10
127792,山西,男,47,2011-3-10
127796,宁夏,男,25,2011-3-10
127798,广西,女,28,2011-3-10
127800,河南,女,34,2011-3-10
127803,上海,男,33,2011-3-10
127805,海南,男,28,2011-3-10
127808,青海,男,41,2011-3-10
127809,湖南,女,32,2011-3-10
127810,广东,男,23,2011-3-10
127811,吉林,女,30,2011-3-10
127812,天津,男,37,2011-3-10
127813,山西,男,25,2011-3-10
127815,青海,女,30,2011-3-10
127816,宁夏,女,47,2011-3-10
127821,海南,女,19,2011-3-10
127822,天津,女,24,2011-3-10
127823,云南,女,19,2011-3-10
127835,贵州,男,30,2011-3-10
127836,陕西,男,27,2011-3-10
127837,云南,女,24,2011-3-10
127839,新疆,男,23,2011-3-10
127841,浙江,女,32,2011-3-10
127843,黑龙江,女,22,2011-3-10
127846,黑龙江,女,27,2011-3-10
127847,吉林,女,27,2011-3-10
127848,青海,女,25,2011-3-10
127849,宁夏,女,21,2011-3-10
127850,山东,女,42,2011-3-10
127851,黑龙江,男,37,2011-3-10
127852,西藏,男,25,2011-3-10
127853,海南,女,21,2011-3-10
127854,宁夏,女,19,2011-3-10
127855,海南,女,37,2011-3-10
127857,浙江,男,25,2011-3-10
127860,吉林,男,23,2011-3-10
127861,上海,女,38,2011-3-10
127862,海南,女,38,2011-3-10
127863,青海,男,27,2011-3-10
127866,天津,女,30,2011-3-10
127867,安徽,女,22,2011-3-10
127868,河南,男,47,2011-3-10
127871,浙江,男,24,2011-3-10
127872,安徽,男,38,2011-3-10
127874,内蒙古,女,28,2011-3-10
127875,河北,男,42,2011-3-10
127876,浙江,男,31,2011-3-10
127877,新疆,女,25,2011-3-10
127880,河北,男,24,2011-3-10
127881,上海,男,35,2011-3-10
127882,安徽,男,28,2011-3-10
127883,北京,男,35,2011-3-10
127884,云南,女,42,2011-3-10
127886,贵州,男,26,2011-3-10
127890,山东,女,21,2011-3-10
127891,天津,女,46,2011-3-10
127892,广东,男,24,2011-3-10
127895,浙江,女,39,2011-3-10
127896,云南,女,22,2011-3-10
127897,湖南,男,41,2011-3-10
127898,福建,女,27,2011-3-10
127900,江苏,男,25,2011-3-10
127901,黑龙江,女,18,2011-3-10
127905,青海,男,22,2011-3-10
127907,山东,男,23,2011-3-10
127909,湖南,男,32,2011-3-10
127913,广东,男,47,2011-3-10
127915,海南,男,29,2011-3-10
127916,河南,男,40,2011-3-10
127917,山西,男,19,2011-3-10
127918,四川,男,38,2011-3-11
127919,浙江,男,24,2011-3-11
127920,北京,男,24,2011-3-11
127921,四川,女,45,2011-3-11
127922,青海,女,43,2011-3-11
127925,江西,男,30,2011-3-11
127926,天津,女,47,2011-3-11
127927,江苏,男,25,2011-3-11
127928,海南,女,33,2011-3-11
127929,上海,男,32,2011-3-11
127931,贵州,女,36,2011-3-11
127932,安徽,男,22,2011-3-11
127933,广东,男,35,2011-3-11
127934,江苏,男,45,2011-3-11
127935,安徽,女,23,2011-3-11
127937,吉林,女,46,2011-3-11
127938,广西,男,29,2011-3-11
127939,安徽,男,36,2011-3-11
127941,黑龙江,女,47,2011-3-11
127942,西藏,男,30,2011-3-11
127943,西藏,男,24,2011-3-11
127945,贵州,女,35,2011-3-11
127946,内蒙古,女,32,2011-3-11
127947,湖南,男,20,2011-3-11
127949,宁夏,男,36,2011-3-11
127950,贵州,男,24,2011-3-11
127952,新疆,男,33,2011-3-11
127953,内蒙古,男,25,2011-3-11
127955,重庆,男,37,2011-3-11
127956,吉林,男,23,2011-3-11
127961,湖南,男,34,2011-3-11
127963,江西,男,32,2011-3-11
127964,贵州,女,25,2011-3-11
127965,福建,男,35,2011-3-11
127967,湖南,女,43,2011-3-11
127970,江西,女,21,2011-3-11
127972,上海,女,22,2011-3-11
127976,山东,女,18,2011-3-11
127977,新疆,女,38,2011-3-11
127978,北京,男,23,2011-3-11
127980,河北,女,44,2011-3-11
127983,江西,女,25,2011-3-11
127984,山西,男,27,2011-3-11
127986,上海,女,26,2011-3-11
127988,山西,女,38,2011-3-11
127989,上海,男,33,2011-3-11
127990,山东,女,37,2011-3-11
127992,河南,女,33,2011-3-11
127993,山西,男,28,2011-3-11
127994,河北,男,35,2011-3-11
127995,广东,男,25,2011-3-11
127997,上海,男,45,2011-3-11
127999,宁夏,男,44,2011-3-11
128000,吉林,女,22,2011-3-11
128001,四川,女,25,2011-3-11
128003,贵州,女,29,2011-3-11
128004,北京,女,31,2011-3-11
128005,新疆,女,29,2011-3-11
128006,天津,男,40,2011-3-11
128007,河北,女,27,2011-3-11
128008,广东,女,29,2011-3-11
128009,江苏,男,19,2011-3-11
128010,江西,男,37,2011-3-11
128011,重庆,男,21,2011-3-11
128014,上海,男,36,2011-3-11
128019,陕西,女,42,2011-3-11
128020,河北,女,33,2011-3-11
128021,重庆,女,23,2011-3-11
128022,山西,女,40,2011-3-11
128023,湖南,男,31,2011-3-11
128024,西藏,女,31,2011-3-11
128026,浙江,男,21,2011-3-11
128029,安徽,女,29,2011-3-11
128030,陕西,男,27,2011-3-11
128033,甘肃,女,29,2011-3-11
128036,重庆,女,25,2011-3-11
128037,广东,男,27,2011-3-11
128038,山东,男,31,2011-3-11
128039,海南,女,32,2011-3-11
128041,贵州,女,46,2011-3-11
128043,北京,女,37,2011-3-11
128045,云南,女,32,2011-3-11
128047,吉林,男,34,2011-3-11
128049,湖北,女,33,2011-3-11
128052,山东,男,32,2011-3-11
128053,四川,女,19,2011-3-11
128055,河北,女,18,2011-3-11
128056,湖南,男,35,2011-3-11
128058,山西,女,19,2011-3-11
128061,海南,女,33,2011-3-11
128063,黑龙江,男,27,2011-3-11
128064,海南,女,25,2011-3-11
128068,四川,男,38,2011-3-11
128069,重庆,男,38,2011-3-11
128071,天津,男,43,2011-3-11
128073,天津,女,27,2011-3-11
128074,山东,男,34,2011-3-11
128075,湖北,女,35,2011-3-11
128076,天津,男,36,2011-3-11
128081,湖南,男,20,2011-3-11
128083,山东,男,29,2011-3-11
128084,海南,女,29,2011-3-11
128085,上海,女,29,2011-3-11
128087,浙江,男,44,2011-3-11
128088,江西,女,18,2011-3-11
128090,黑龙江,男,34,2011-3-11
128093,内蒙古,女,46,2011-3-11
128094,新疆,女,32,2011-3-11
128095,上海,男,21,2011-3-11
128098,上海,男,27,2011-3-11
128099,甘肃,女,22,2011-3-11
128100,海南,女,18,2011-3-11
128101,海南,男,40,2011-3-11
128102,海南,男,41,2011-3-11
128107,黑龙江,男,27,2011-3-11
128108,西藏,女,26,2011-3-11
128109,新疆,女,29,2011-3-11
128110,辽宁,女,27,2011-3-11
128113,福建,女,35,2011-3-11
128115,新疆,女,23,2011-3-11
128117,山东,男,22,2011-3-11
128119,宁夏,女,27,2011-3-11
128120,广东,男,42,2011-3-11
128121,河北,女,20,2011-3-11
128124,北京,男,24,2011-3-11
128125,青海,女,46,2011-3-11
128126,海南,女,25,2011-3-11
128127,贵州,男,30,2011-3-11
128129,湖南,女,44,2011-3-11
128131,天津,女,27,2011-3-11
128133,广西,女,35,2011-3-11
128137,重庆,女,37,2011-3-11
128138,山西,女,28,2011-3-11
128139,上海,男,40,2011-3-11
128140,浙江,男,24,2011-3-11
128152,广西,男,47,2011-3-11
128154,山东,男,31,2011-3-11
128155,青海,女,28,2011-3-11
128156,江西,男,29,2011-3-11
128157,山东,男,37,2011-3-11
128158,青海,男,26,2011-3-11
128160,上海,男,19,2011-3-11
128161,北京,女,27,2011-3-11
128162,湖北,女,26,2011-3-11
128165,湖北,男,28,2011-3-11
128166,宁夏,男,39,2011-3-11
128167,山东,女,37,2011-3-11
128170,贵州,女,23,2011-3-11
128171,湖南,女,25,2011-3-11
128172,贵州,男,24,2011-3-11
128173,浙江,女,30,2011-3-11
128174,新疆,女,22,2011-3-11
128175,河北,男,25,2011-3-11
128176,江苏,女,18,2011-3-11
128178,重庆,男,23,2011-3-11
128181,河北,男,22,2011-3-11
128182,河北,男,23,2011-3-11
128184,河北,男,21,2011-3-11
128186,江西,女,22,2011-3-11
128188,福建,男,18,2011-3-11
128189,湖北,男,33,2011-3-11
128190,上海,女,32,2011-3-11
128192,陕西,女,19,2011-3-11
128194,河南,男,36,2011-3-11
128195,上海,男,32,2011-3-11
128198,江苏,男,32,2011-3-11
128203,辽宁,男,33,2011-3-11
128204,陕西,女,34,2011-3-11
128205,上海,男,27,2011-3-11
128213,重庆,男,38,2011-3-11
128214,西藏,女,34,2011-3-11
128217,河北,男,19,2011-3-11
128218,宁夏,男,19,2011-3-11
128219,云南,男,28,2011-3-11
128220,天津,男,44,2011-3-11
128221,广东,男,39,2011-3-11
128222,北京,女,40,2011-3-11
128223,江西,女,20,2011-3-11
128224,北京,男,29,2011-3-11
128227,山西,女,41,2011-3-11
128228,上海,女,32,2011-3-11
128229,青海,女,31,2011-3-11
128231,海南,男,29,2011-3-11
128233,湖北,女,40,2011-3-11
128234,吉林,女,45,2011-3-11
128235,海南,男,24,2011-3-11
128236,云南,男,25,2011-3-11
128237,浙江,男,23,2011-3-11
128238,天津,女,32,2011-3-11
128239,陕西,男,37,2011-3-11
128241,贵州,男,38,2011-3-11
128243,青海,男,20,2011-3-11
128245,贵州,男,28,2011-3-11
128248,上海,男,31,2011-3-11
128250,广西,男,18,2011-3-11
128252,四川,女,23,2011-3-11
128257,上海,女,21,2011-3-11
128259,吉林,女,42,2011-3-11
128260,上海,男,26,2011-3-11
128261,河南,男,18,2011-3-11
128262,重庆,女,23,2011-3-11
128263,广东,男,18,2011-3-11
128265,辽宁,女,40,2011-3-11
128267,宁夏,男,35,2011-3-11
128268,海南,女,37,2011-3-11
128269,甘肃,女,28,2011-3-11
128270,云南,女,19,2011-3-11
128272,黑龙江,女,41,2011-3-11
128275,山东,男,38,2011-3-11
128276,甘肃,男,26,2011-3-11
128278,上海,女,33,2011-3-11
128279,浙江,女,19,2011-3-11
128282,上海,男,25,2011-3-11
128284,四川,男,27,2011-3-11
128285,宁夏,男,25,2011-3-11
128286,新疆,女,19,2011-3-11
128287,西藏,男,27,2011-3-11
128289,北京,男,44,2011-3-11
128290,江西,女,21,2011-3-11
128291,北京,男,21,2011-3-11
128292,重庆,女,36,2011-3-11
128293,云南,男,31,2011-3-11
128295,江苏,女,19,2011-3-11
128296,山西,女,32,2011-3-11
128299,西藏,女,44,2011-3-11
128302,宁夏,男,21,2011-3-11
128305,北京,女,42,2011-3-11
128307,山西,男,27,2011-3-11
128308,辽宁,女,45,2011-3-11
128309,海南,男,25,2011-3-11
128310,重庆,男,20,2011-3-11
128312,天津,男,31,2011-3-11
128317,西藏,女,34,2011-3-11
128319,河北,女,19,2011-3-11
128320,内蒙古,男,18,2011-3-11
128321,福建,女,36,2011-3-11
128323,广西,女,34,2011-3-11
128325,云南,男,20,2011-3-11
128326,广西,女,28,2011-3-11
128327,浙江,女,36,2011-3-11
128329,江苏,男,19,2011-3-11
128331,北京,女,46,2011-3-11
128332,上海,女,32,2011-3-11
128333,上海,男,37,2011-3-11
128334,福建,女,44,2011-3-11
128335,新疆,男,28,2011-3-11
128338,贵州,女,29,2011-3-11
128339,宁夏,男,23,2011-3-11
128340,北京,女,30,2011-3-11
128341,四川,女,36,2011-3-11
128344,吉林,男,19,2011-3-11
128346,天津,女,29,2011-3-11
128347,青海,男,21,2011-3-11
128348,内蒙古,女,23,2011-3-11
128349,甘肃,男,33,2011-3-12
128351,新疆,男,24,2011-3-12
128357,西藏,女,46,2011-3-12
128359,上海,女,26,2011-3-12
128360,上海,女,27,2011-3-12
128362,广东,女,33,2011-3-12
128363,山西,女,20,2011-3-12
128365,辽宁,女,47,2011-3-12
128371,青海,女,33,2011-3-12
128373,西藏,女,27,2011-3-12
128375,湖北,女,29,2011-3-12
128377,河北,男,20,2011-3-12
128378,广东,男,40,2011-3-12
128381,河南,女,36,2011-3-12
128384,江苏,女,39,2011-3-12
128385,内蒙古,男,19,2011-3-12
128386,河北,女,22,2011-3-12
128388,海南,女,25,2011-3-12
128389,甘肃,女,36,2011-3-12
128392,河南,女,26,2011-3-12
128394,宁夏,女,30,2011-3-12
128397,天津,男,29,2011-3-12
128398,河南,男,29,2011-3-12
128400,海南,男,32,2011-3-12
128402,江苏,女,41,2011-3-12
128403,山西,男,26,2011-3-12
128404,吉林,男,18,2011-3-12
128406,山西,女,40,2011-3-12
128407,海南,女,22,2011-3-12
128409,吉林,女,30,2011-3-12
128411,湖南,男,46,2011-3-12
128412,河南,男,41,2011-3-12
128414,河南,男,18,2011-3-12
128415,北京,男,25,2011-3-12
128419,福建,男,35,2011-3-12
128420,陕西,女,40,2011-3-12
128422,甘肃,女,28,2011-3-12
128426,陕西,男,20,2011-3-12
128433,吉林,女,34,2011-3-12
128435,云南,男,46,2011-3-12
128436,云南,女,35,2011-3-12
128439,安徽,男,19,2011-3-12
128441,湖北,男,22,2011-3-12
128443,辽宁,男,21,2011-3-12
128444,福建,女,37,2011-3-12
128445,湖南,男,26,2011-3-12
128447,北京,男,20,2011-3-12
128449,天津,男,23,2011-3-12
128450,上海,女,45,2011-3-12
128452,上海,女,41,2011-3-12
128453,云南,女,41,2011-3-12
128454,天津,女,25,2011-3-12
128455,湖南,女,19,2011-3-12
128456,湖南,女,38,2011-3-12
128461,甘肃,男,33,2011-3-12
128462,江西,男,21,2011-3-12
128463,河北,女,23,2011-3-12
128464,浙江,男,43,2011-3-12
128466,浙江,女,22,2011-3-12
128467,山西,男,21,2011-3-12
128470,云南,女,18,2011-3-12
128472,四川,女,24,2011-3-12
128479,浙江,男,30,2011-3-12
128480,广东,女,23,2011-3-12
128483,广东,女,21,2011-3-12
128484,广西,男,29,2011-3-12
128485,内蒙古,男,36,2011-3-12
128486,广东,男,23,2011-3-12
128487,湖南,女,23,2011-3-12
128489,陕西,男,43,2011-3-12
128492,新疆,女,20,2011-3-12
128494,河南,女,37,2011-3-12
128496,云南,男,32,2011-3-12
128497,山东,女,38,2011-3-12
128499,天津,女,26,2011-3-12
128500,天津,女,35,2011-3-12
128501,河南,女,38,2011-3-12
128502,黑龙江,男,31,2011-3-12
128504,浙江,男,46,2011-3-12
128505,江苏,女,19,2011-3-12
128506,北京,男,34,2011-3-12
128510,宁夏,女,19,2011-3-12
128511,海南,女,23,2011-3-12
128517,吉林,男,31,2011-3-12
128518,广东,女,25,2011-3-12
128520,四川,男,29,2011-3-12
128523,辽宁,女,23,2011-3-12
128524,山东,女,24,2011-3-12
128525,天津,女,37,2011-3-12
128528,北京,男,21,2011-3-12
128530,福建,男,31,2011-3-12
128531,江苏,男,32,2011-3-12
128532,广东,女,27,2011-3-12
128533,山西,女,32,2011-3-12
128534,江苏,男,34,2011-3-12
128535,辽宁,男,23,2011-3-12
128536,重庆,女,21,2011-3-12
128539,北京,女,22,2011-3-12
128542,北京,女,33,2011-3-12
128545,广东,男,28,2011-3-12
128546,上海,男,35,2011-3-12
128547,上海,女,28,2011-3-12
128548,辽宁,女,39,2011-3-12
128550,江苏,女,47,2011-3-12
128551,内蒙古,男,22,2011-3-12
128552,北京,男,30,2011-3-12
128553,云南,女,42,2011-3-12
128554,河北,男,37,2011-3-12
128556,辽宁,女,22,2011-3-12
128557,湖南,女,21,2011-3-12
128558,贵州,男,23,2011-3-12
128559,湖南,男,35,2011-3-12
128561,江苏,男,42,2011-3-12
128564,湖南,男,26,2011-3-12
128566,湖南,男,35,2011-3-12
128571,湖南,男,25,2011-3-12
128572,北京,男,33,2011-3-12
128573,河北,男,19,2011-3-12
128574,安徽,女,30,2011-3-12
128575,上海,女,37,2011-3-12
128576,江苏,女,24,2011-3-12
128577,湖北,女,18,2011-3-12
128578,山西,男,38,2011-3-12
128580,北京,男,18,2011-3-12
128583,山东,男,40,2011-3-12
128585,安徽,男,25,2011-3-12
128586,上海,女,32,2011-3-12
128587,湖北,男,43,2011-3-12
128588,贵州,女,23,2011-3-12
128590,浙江,男,22,2011-3-12
128592,福建,女,36,2011-3-12
128593,广西,男,22,2011-3-12
128594,甘肃,男,22,2011-3-12
128597,陕西,女,34,2011-3-12
128598,辽宁,女,19,2011-3-12
128600,上海,女,46,2011-3-12
128601,海南,男,28,2011-3-12
128602,重庆,女,25,2011-3-12
128604,北京,女,18,2011-3-12
128605,黑龙江,女,20,2011-3-12
128606,河南,男,18,2011-3-12
128607,黑龙江,男,46,2011-3-12
128609,广西,女,37,2011-3-12
128610,山东,男,39,2011-3-12
128611,广西,男,30,2011-3-12
128612,江苏,女,39,2011-3-12
128615,安徽,男,18,2011-3-12
128617,青海,男,29,2011-3-12
128618,上海,女,37,2011-3-12
128619,河南,男,36,2011-3-12
128620,西藏,女,20,2011-3-12
128621,湖北,女,28,2011-3-12
128622,浙江,男,28,2011-3-12
128624,新疆,女,23,2011-3-12
128625,天津,男,27,2011-3-12
128627,北京,男,19,2011-3-12
128628,天津,男,21,2011-3-12
128631,陕西,女,24,2011-3-12
128632,山东,男,26,2011-3-12
128633,北京,女,25,2011-3-12
128634,天津,女,35,2011-3-12
128635,新疆,男,37,2011-3-12
128636,内蒙古,男,24,2011-3-12
128638,西藏,男,37,2011-3-12
128640,浙江,女,33,2011-3-12
128641,青海,男,45,2011-3-12
128642,河北,男,25,2011-3-12
128646,山东,女,34,2011-3-12
128648,四川,女,42,2011-3-12
128649,贵州,男,40,2011-3-12
128651,北京,男,37,2011-3-12
128653,新疆,男,43,2011-3-12
128654,宁夏,女,27,2011-3-12
128656,山东,女,43,2011-3-12
128657,海南,女,29,2011-3-12
128658,广西,男,27,2011-3-12
128659,西藏,男,26,2011-3-12
128662,河南,女,18,2011-3-12
128664,重庆,女,26,2011-3-12
128665,上海,女,31,2011-3-12
128666,北京,女,34,2011-3-12
128668,内蒙古,女,47,2011-3-12
128669,北京,女,29,2011-3-12
128670,福建,男,18,2011-3-12
128671,内蒙古,男,18,2011-3-12
128672,甘肃,女,46,2011-3-12
128673,河北,女,37,2011-3-12
128674,甘肃,女,27,2011-3-12
128675,内蒙古,女,21,2011-3-12
128676,云南,男,24,2011-3-12
128677,青海,女,18,2011-3-12
128678,河南,女,19,2011-3-12
128680,四川,男,27,2011-3-12
128681,青海,女,23,2011-3-12
128682,西藏,男,42,2011-3-12
128685,北京,女,30,2011-3-12
128686,江西,男,18,2011-3-12
128687,广东,女,29,2011-3-12
128689,北京,男,21,2011-3-12
128690,云南,男,26,2011-3-12
128692,甘肃,女,27,2011-3-12
128693,湖北,女,37,2011-3-12
128697,四川,女,26,2011-3-12
128700,宁夏,男,41,2011-3-12
128701,天津,男,18,2011-3-12
128702,云南,男,21,2011-3-12
128703,新疆,男,20,2011-3-12
128705,青海,女,24,2011-3-12
128706,广西,男,18,2011-3-12
128707,内蒙古,男,27,2011-3-12
128709,山西,男,21,2011-3-12
128712,甘肃,女,37,2011-3-12
128713,贵州,男,27,2011-3-12
128714,湖南,男,37,2011-3-12
128715,重庆,女,22,2011-3-12
128720,内蒙古,男,31,2011-3-12
128724,安徽,男,27,2011-3-12
128725,辽宁,男,28,2011-3-12
128727,浙江,女,36,2011-3-12
128728,陕西,女,27,2011-3-12
128729,黑龙江,男,31,2011-3-12
128730,重庆,男,21,2011-3-12
128731,吉林,女,18,2011-3-12
128732,陕西,男,30,2011-3-12
128734,内蒙古,女,22,2011-3-12
128735,内蒙古,女,37,2011-3-12
128736,河南,男,44,2011-3-12
128739,湖北,女,23,2011-3-12
128741,黑龙江,女,24,2011-3-12
128747,新疆,男,27,2011-3-12
128748,山西,女,28,2011-3-12
128749,贵州,男,31,2011-3-12
128750,山西,女,29,2011-3-12
128751,四川,男,26,2011-3-12
128754,福建,男,38,2011-3-12
128755,青海,男,20,2011-3-12
128757,吉林,女,21,2011-3-12
128758,上海,男,25,2011-3-12
128759,浙江,男,23,2011-3-12
128760,北京,女,37,2011-3-12
128763,黑龙江,女,21,2011-3-12
128766,福建,男,43,2011-3-12
128767,西藏,女,24,2011-3-12
128768,江西,女,33,2011-3-12
128770,贵州,女,47,2011-3-12
128772,西藏,男,23,2011-3-12
128778,安徽,男,37,2011-3-12
128780,甘肃,男,28,2011-3-12
128781,上海,男,38,2011-3-12
128782,河南,女,20,2011-3-12
128784,安徽,男,42,2011-3-12
128785,北京,男,20,2011-3-12
128787,贵州,男,20,2011-3-12
128789,内蒙古,男,26,2011-3-12
128790,上海,男,24,2011-3-12
128791,重庆,女,25,2011-3-12
128793,吉林,男,27,2011-3-12
128794,江西,女,34,2011-3-12
128796,青海,女,31,2011-3-12
128802,贵州,男,22,2011-3-12
128803,宁夏,女,21,2011-3-12
128804,黑龙江,男,28,2011-3-12
128805,新疆,男,22,2011-3-12
128807,福建,男,24,2011-3-12
128808,云南,男,26,2011-3-12
128809,内蒙古,男,24,2011-3-12
128811,山西,男,20,2011-3-12
128814,贵州,男,21,2011-3-12
128815,湖南,女,47,2011-3-12
128816,吉林,女,39,2011-3-12
128817,安徽,女,22,2011-3-12
128818,西藏,男,31,2011-3-13
128819,云南,女,27,2011-3-13
128820,山东,男,30,2011-3-13
128821,云南,女,32,2011-3-13
128822,河北,女,32,2011-3-13
128823,北京,男,20,2011-3-13
128825,福建,男,36,2011-3-13
128829,北京,女,25,2011-3-13
128830,甘肃,男,18,2011-3-13
128831,天津,女,20,2011-3-13
128832,上海,男,21,2011-3-13
128834,内蒙古,男,24,2011-3-13
128836,江苏,男,33,2011-3-13
128841,天津,男,28,2011-3-13
128842,北京,男,34,2011-3-13
128843,北京,男,26,2011-3-13
128844,上海,男,37,2011-3-13
128845,新疆,男,33,2011-3-13
128846,浙江,男,28,2011-3-13
128851,陕西,男,32,2011-3-13
128853,西藏,男,19,2011-3-13
128854,甘肃,女,44,2011-3-13
128856,北京,女,33,2011-3-13
128857,上海,男,35,2011-3-13
128858,云南,男,28,2011-3-13
128859,甘肃,女,47,2011-3-13
128861,新疆,女,23,2011-3-13
128862,内蒙古,男,27,2011-3-13
128863,天津,男,33,2011-3-13
128866,四川,男,45,2011-3-13
128867,浙江,男,27,2011-3-13
128868,上海,男,20,2011-3-13
128869,重庆,男,41,2011-3-13
128870,上海,男,28,2011-3-13
128871,内蒙古,男,34,2011-3-13
128876,内蒙古,男,47,2011-3-13
128877,上海,女,40,2011-3-13
128878,贵州,男,32,2011-3-13
128879,内蒙古,女,46,2011-3-13
128882,西藏,男,45,2011-3-13
128884,上海,男,20,2011-3-13
128885,陕西,女,26,2011-3-13
128886,山东,女,26,2011-3-13
128887,陕西,女,18,2011-3-13
128889,湖北,女,19,2011-3-13
128890,河南,女,24,2011-3-13
128892,上海,女,33,2011-3-13
128893,青海,女,26,2011-3-13
128894,吉林,女,31,2011-3-13
128895,广东,女,36,2011-3-13
128896,广东,女,29,2011-3-13
128897,重庆,男,27,2011-3-13
128898,浙江,女,35,2011-3-13
128903,青海,男,25,2011-3-13
128906,云南,女,29,2011-3-13
128907,青海,男,36,2011-3-13
128908,陕西,女,44,2011-3-13
128909,广东,女,18,2011-3-13
128912,吉林,男,31,2011-3-13
128914,福建,女,21,2011-3-13
128917,天津,男,25,2011-3-13
128918,宁夏,男,18,2011-3-13
128919,黑龙江,女,38,2011-3-13
128920,北京,女,35,2011-3-13
128922,吉林,男,19,2011-3-13
128923,黑龙江,男,21,2011-3-13
128927,上海,女,47,2011-3-13
128928,天津,女,36,2011-3-13
128932,福建,男,25,2011-3-13
128933,湖南,男,19,2011-3-13
128937,广西,女,32,2011-3-13
128938,江苏,女,40,2011-3-13
128939,贵州,女,33,2011-3-13
128940,山东,男,47,2011-3-13
128943,江苏,女,20,2011-3-13
128944,宁夏,女,32,2011-3-13
128945,北京,女,24,2011-3-13
128948,西藏,女,28,2011-3-13
128950,天津,女,24,2011-3-13
128953,青海,女,24,2011-3-13
128954,浙江,男,19,2011-3-13
128956,河北,女,18,2011-3-13
128957,海南,男,20,2011-3-13
128958,贵州,男,32,2011-3-13
128961,浙江,男,39,2011-3-13
128963,海南,女,37,2011-3-13
128965,宁夏,女,36,2011-3-13
128968,广东,男,19,2011-3-13
128970,江苏,女,25,2011-3-13
128973,云南,女,36,2011-3-13
128974,广西,男,19,2011-3-13
128975,重庆,男,34,2011-3-13
128977,上海,男,21,2011-3-13
128981,辽宁,女,44,2011-3-13
128982,广东,男,22,2011-3-13
128984,江苏,男,26,2011-3-13
128985,安徽,男,25,2011-3-13
128987,吉林,女,33,2011-3-13
128989,北京,女,26,2011-3-13
128990,北京,男,27,2011-3-13
128991,江西,女,25,2011-3-13
129001,辽宁,女,22,2011-3-13
129002,湖南,女,30,2011-3-13
129004,吉林,女,38,2011-3-13
129005,黑龙江,女,18,2011-3-13
129006,西藏,男,18,2011-3-13
129007,四川,女,36,2011-3-13
129008,浙江,男,26,2011-3-13
129009,江苏,男,32,2011-3-13
129011,北京,男,18,2011-3-13
129012,广东,男,34,2011-3-13
129013,广东,男,23,2011-3-13
129014,江西,女,39,2011-3-13
129019,江西,男,26,2011-3-13
129020,甘肃,女,21,2011-3-13
129021,山西,女,45,2011-3-13
129022,广东,男,29,2011-3-13
129028,河北,男,37,2011-3-13
129030,辽宁,女,29,2011-3-13
129031,重庆,女,42,2011-3-13
129032,辽宁,女,25,2011-3-13
129033,内蒙古,男,18,2011-3-13
129037,广东,女,21,2011-3-13
129038,贵州,女,31,2011-3-13
129040,陕西,女,38,2011-3-13
129042,广东,女,23,2011-3-13
129044,北京,女,32,2011-3-13
129045,内蒙古,男,19,2011-3-13
129046,江苏,女,27,2011-3-13
129048,黑龙江,男,33,2011-3-13
129052,广东,男,29,2011-3-13
129057,吉林,男,35,2011-3-13
129059,宁夏,女,37,2011-3-13
129061,湖北,男,31,2011-3-13
129063,陕西,女,21,2011-3-13
